Name,AC,HP,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,CR,gargantuan,huge,large,medium,or,small,tiny,Overall
Black Dragon Wyrmling,17,1.4644970414201182,15,14,13,10,11,13,4,2,0,0,1,0,2,0,0,0,1,0,0,0,76
Black Earth Guard,18,1.7307692307692306,17,11,14,10,10,9,0,2,0,0,0,0,2,0,0,0,1,0,0,0,71
Black Earth Priest,17,1.997041420118343,15,11,14,12,10,16,0,3,0,0,0,0,3,0,0,0,1,0,0,0,78
Black Gauntlet of Bane,16,2.2633136094674553,18,11,18,12,15,18,1,2,0,0,0,1,6,0,0,0,1,0,0,0,92
Black Greatwyrm,22,23.653846153846153,30,14,30,21,20,26,4,3,0,0,1,3,27,1,0,0,0,0,0,0,141
Black Pudding,7,3.7721893491124256,16,5,16,1,6,1,0,0,0,0,4,6,4,0,0,1,0,0,0,0,45
Blackguard,18,5.281065088757396,18,11,18,11,14,15,2,3,0,0,0,0,8,0,0,0,1,0,0,0,87
Blink Dog,13,0.9763313609467456,12,17,12,10,13,11,0,2,0,0,0,0,0.25,0,0,0,1,0,0,0,75
Blistercoil Weird,13,1.997041420118343,16,16,15,5,10,7,0,0,0,4,1,8,4,0,0,0,1,0,0,0,69
Blood Drinker Vampire,16,3.994082840236686,16,18,17,16,13,19,3,3,0,3,0,0,8,0,0,0,1,0,0,0,99
Blood Hawk,12,0.3106508875739645,6,14,10,3,14,5,0,1,0,0,0,0,0.125,0,0,0,0,0,1,0,52
Blood Hunter,16,2.8846153846153846,18,12,15,9,16,11,2,3,0,0,0,0,5,0,0,0,1,0,0,0,81
Blood Witch,12,3.4615384615384612,16,14,15,13,9,19,2,4,0,1,0,0,7,0,0,0,1,0,0,0,86
Blood-Toll Harpy,11,0.3994082840236686,12,13,10,6,11,13,0,1,0,0,0,0,0.125,0,0,0,1,0,0,0,65
Bloodfray Giant,14,4.571005917159763,23,9,20,7,8,9,3,2,0,0,0,0,6,0,1,0,0,0,0,0,76
Blue Abishai,19,8.964497041420119,15,14,17,22,23,18,2,1,0,3,3,1,17,0,0,0,1,0,0,0,109
Blue Dragon Wyrmling,17,2.3076923076923075,17,10,15,12,11,15,4,2,0,0,1,0,3,0,0,0,1,0,0,0,80
Blue Greatwyrm,22,23.653846153846153,30,14,30,21,20,26,4,3,0,0,1,3,27,1,0,0,0,0,0,0,141
Blue Slaad,15,5.458579881656805,20,15,18,7,7,9,0,1,0,5,0,0,7,0,0,1,0,0,0,0,76
Boar,11,0.4881656804733728,13,11,12,2,9,5,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,52
Bodak,15,2.57396449704142,15,16,15,7,12,12,0,2,0,4,2,3,6,0,0,0,1,0,0,0,77
Bodytaker Plant,16,4.0828402366863905,18,8,20,14,14,18,0,0,1,0,0,4,7,0,1,0,0,0,0,0,92
Boggle,14,0.7988165680473372,8,18,13,6,12,7,0,3,0,1,0,0,0.125,0,0,0,0,0,1,0,64
Bone Devil,19,6.301775147928994,18,16,18,13,14,16,3,2,0,3,2,1,9,0,0,1,0,0,0,0,95
Bone Knight,20,3.727810650887574,18,13,14,12,14,16,2,3,0,2,0,0,5,0,0,0,1,0,0,0,87
Bone Naga (Guardian),15,2.57396449704142,15,16,12,15,15,16,0,0,0,0,1,4,4,0,0,1,0,0,0,0,89
Bone Naga (Spirit),15,2.57396449704142,15,16,12,15,15,16,0,0,0,0,1,4,4,0,0,1,0,0,0,0,89
Bone Whelk,12,1.198224852071006,10,5,11,6,9,3,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,44
Boneclaw,16,6.65680473372781,19,16,15,13,15,9,3,2,0,2,0,5,12,0,0,1,0,0,0,0,87
Boneless,12,1.1538461538461537,16,14,15,1,10,1,0,1,0,2,0,3,1,0,0,0,1,0,0,0,57
Booyahg Booyahg Booyahg,12,1.7751479289940828,9,14,11,17,12,11,2,2,0,0,0,0,6,0,0,0,0,0,1,0,74
Booyahg Caster,15,0.3106508875739645,8,14,10,10,8,8,0,1,0,0,0,0,0.25,0,0,0,0,0,1,0,58
Booyahg Slave of the Archfey,11,2.1745562130177514,9,13,11,11,12,18,2,4,0,0,0,1,4,0,0,0,0,0,1,0,74
Booyahg Slave of the Fiend,12,3.4615384615384612,10,14,15,12,12,18,2,4,0,1,0,0,7,0,0,0,0,0,1,0,81
Booyahg Slave of the Great Old One,12,4.038461538461538,9,14,15,12,12,18,2,2,0,1,0,0,6,0,0,0,0,0,1,0,80
Booyahg Whip,15,0.3106508875739645,8,14,10,10,8,8,0,1,0,0,0,0,0.25,0,0,0,0,0,1,0,58
Booyahg Wielder,15,0.3106508875739645,8,14,10,10,8,8,0,1,0,0,0,0,0.25,0,0,0,0,0,1,0,58
Borborygmos,14,11.982248520710058,24,11,24,8,17,16,3,3,0,2,0,2,18,0,1,0,0,0,0,0,100
Bore Worm,18,10.961538461538462,28,7,22,1,8,4,2,0,0,0,5,9,16,1,0,0,0,0,0,0,70
Bozak Draconian,15,1.7751479289940828,14,10,11,11,10,14,3,0,0,0,0,0,2,0,0,0,1,0,0,0,70
Brackish Trudge,12,3.0177514792899407,20,10,17,4,14,4,0,1,0,1,0,0,3,0,0,1,0,0,0,0,69
Brain in a Jar,11,2.4408284023668636,1,3,15,19,10,15,2,0,0,0,1,4,3,0,0,0,0,0,1,0,63
Brass Dragon Wyrmling,16,0.7100591715976331,15,10,13,10,11,13,4,2,0,0,1,0,1,0,0,0,1,0,0,0,72
Brass Greatwyrm,22,25.07396449704142,30,16,29,21,22,30,5,3,0,0,1,3,28,1,0,0,0,0,0,0,148
Braxat,18,7.189349112426035,26,8,22,14,13,7,0,0,0,0,2,2,9,0,1,0,0,0,0,0,90
Bridesmaid of Zuggtmoy,13,0.9763313609467456,14,11,11,14,8,18,0,0,0,0,0,0,0.125,0,0,0,1,0,0,0,76
Brigganock,12,0.3994082840236686,4,15,14,10,11,13,2,0,0,0,0,1,0.125,0,0,0,0,0,0,1,67
Bristled Moorbounder,15,2.3076923076923075,18,14,14,2,13,5,0,0,0,0,0,0,3,0,0,1,0,0,0,0,66
Broken King Antigonos,14,1.6863905325443787,18,11,16,6,16,9,0,1,0,0,0,0,3,0,0,1,0,0,0,0,76
Brontosaurus,15,5.3698224852071,21,9,17,2,10,7,1,0,0,0,0,0,5,1,0,0,0,0,0,0,66
Bronze Dragon Wyrmling,17,1.4201183431952662,17,10,15,12,11,15,4,2,0,0,1,0,2,0,0,0,1,0,0,0,80
Bronze Greatwyrm,22,25.07396449704142,30,16,29,21,22,30,5,3,0,0,1,3,28,1,0,0,0,0,0,0,148
Bronze Sable,15,1.4201183431952662,13,16,15,3,14,1,0,1,0,0,2,5,1,0,0,0,1,0,0,0,62
Broom of Animated Attack,15,0.7544378698224852,10,17,10,1,5,1,0,0,0,0,2,9,0.25,0,0,0,0,0,1,0,44
Brown Bear,11,1.5088757396449703,19,10,16,2,13,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,67
Brown Scavver,13,2.2633136094674553,18,15,17,1,10,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,62
Bugbear,16,1.198224852071006,15,14,13,8,11,9,0,2,0,0,0,0,1,0,0,0,1,0,0,0,70
Bugbear Chief,17,2.8846153846153846,17,14,14,11,12,11,0,3,0,0,0,0,3,0,0,0,1,0,0,0,79
Bugbear Gardener,16,1.198224852071006,15,14,13,8,11,9,0,2,0,0,0,0,1,0,0,0,1,0,0,0,70
Bugbear Lieutenant,16,1.198224852071006,15,14,13,8,11,9,0,2,0,0,0,0,1,0,0,0,1,0,0,0,70
Bulette,17,4.171597633136095,19,11,21,2,10,5,0,1,0,0,0,0,5,0,0,1,0,0,0,0,68
Bulezau,14,2.3076923076923075,15,14,17,8,9,6,0,0,0,3,1,3,3,0,0,0,1,0,0,0,69
Bullywug,15,0.4881656804733728,12,12,13,7,10,7,0,1,0,0,0,0,0.25,0,0,0,1,0,0,0,61
Bullywug Croaker,15,1.4644970414201182,14,12,12,7,15,10,1,2,0,0,0,0,2,0,0,0,1,0,0,0,70
Bullywug Knight,18,2.9289940828402363,16,12,13,9,11,14,2,0,0,0,0,0,3,0,0,0,1,0,0,0,75
Bullywug Royal,15,2.3076923076923075,16,12,14,10,11,14,2,3,0,0,0,0,3,0,0,0,1,0,0,0,77
Burnished Hart,14,1.997041420118343,17,14,16,3,15,1,0,0,0,0,2,5,2,0,0,0,1,0,0,0,66
Burrowshark,18,3.6390532544378695,18,12,16,10,11,13,0,4,0,0,0,0,4,0,0,0,1,0,0,0,80
Cackler,15,0.4437869822485207,9,16,11,11,7,12,0,3,0,5,1,1,0.5,0,0,0,0,0,1,0,66
Cadaver Collector,17,8.38757396449704,21,14,20,5,11,8,0,0,0,0,5,6,14,0,0,1,0,0,0,0,79
Cambion,19,3.6390532544378695,18,18,16,14,12,16,4,4,0,6,0,0,5,0,0,0,1,0,0,0,94
Camel,9,0.665680473372781,16,8,14,2,8,5,0,0,0,0,0,0,0.125,0,0,1,0,0,0,0,53
Campestri,12,0.08875739644970414,1,7,10,4,10,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,40
Canoloth,16,5.325443786982248,18,10,17,5,17,12,0,2,0,5,2,1,8,0,0,0,1,0,0,0,79
Canopic Golem,17,11.18343195266272,20,10,20,7,11,1,3,0,0,0,1,8,13,0,0,1,0,0,0,0,69
Carnivorous Flower,14,5.059171597633136,16,11,19,6,13,6,1,0,0,0,0,0,5,0,0,1,0,0,0,0,71
Carrion Crawler,13,2.2633136094674553,14,13,16,1,12,5,0,1,0,0,0,0,2,0,0,1,0,0,0,0,61
Carrion Ogre,11,2.618343195266272,19,8,16,1,7,7,0,0,0,0,0,0,2,0,0,1,0,0,0,0,58
Carrion Stalker,14,1.5532544378698223,6,16,12,2,13,6,0,1,0,0,0,1,3,0,0,0,0,0,0,1,55
Carrionette,15,1.198224852071006,10,15,12,8,14,14,0,0,0,2,0,3,1,0,0,0,0,0,1,0,73
Cat,12,0.08875739644970414,3,15,10,3,12,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,50
Category 1 Krasis,15,0.8431952662721893,16,15,14,2,13,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,68
Category 2 Krasis,15,6.035502958579881,18,14,16,2,13,8,0,0,0,0,0,0,6,0,0,1,0,0,0,0,71
Category 3 Krasis,16,12.736686390532544,23,12,21,2,13,8,0,0,0,0,0,0,16,0,1,0,0,0,0,0,79
Catoblepas,14,3.727810650887574,19,12,21,3,14,8,0,1,0,0,0,0,5,0,0,1,0,0,0,0,77
Cave Badger,12,0.5769230769230769,13,10,15,2,12,5,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,57
Cave Bear,12,1.863905325443787,20,10,16,2,13,7,0,1,0,0,0,0,2,0,0,1,0,0,0,0,68
Cave Fisher,16,2.57396449704142,16,13,14,3,10,3,0,2,0,0,0,0,3,0,0,0,1,0,0,0,59
Celestial Spirit,11,1.7751479289940828,16,14,16,10,14,16,0,0,0,1,0,2,0,0,0,1,0,0,0,0,86
Centaur,12,1.997041420118343,18,14,14,9,13,11,0,3,0,0,0,0,2,0,0,1,0,0,0,0,79
Centaur Mummy,13,3.7721893491124256,20,12,16,5,14,12,1,0,1,3,2,5,6,0,0,1,0,0,0,0,79
Chain Devil,16,3.7721893491124256,18,15,18,11,12,14,3,0,0,3,2,1,8,0,0,0,1,0,0,0,88
Chamberlain of Zuggtmoy,13,1.997041420118343,17,7,14,11,8,12,0,0,0,2,0,0,2,0,0,1,0,0,0,0,69
Champion,18,6.346153846153846,20,15,14,10,14,12,2,3,0,0,0,0,9,0,0,0,1,0,0,0,85
Changeling,13,0.9763313609467456,8,15,12,14,10,16,0,5,0,0,0,0,0.5,0,0,0,1,0,0,0,75
Chaos Quadrapod,14,2.3076923076923075,18,13,15,6,10,4,0,2,0,0,0,0,4,0,0,1,0,0,0,0,66
Chardalyn Berserker,13,3.994082840236686,16,12,17,9,11,9,0,1,0,0,0,0,4,0,0,0,1,0,0,0,74
Chardalyn Dragon,17,6.523668639053254,24,11,19,10,10,3,2,0,0,3,2,6,11,0,1,0,0,0,0,0,77
Chasme,15,3.727810650887574,15,15,12,11,14,10,2,1,0,3,1,1,6,0,0,1,0,0,0,0,77
Chimera,14,5.059171597633136,19,11,19,3,14,10,0,1,0,0,0,0,6,0,0,1,0,0,0,0,76
Chimeric Baboon,12,0.1331360946745562,8,14,11,4,12,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55
Chimeric Cat,12,0.08875739644970414,3,15,10,3,12,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,50
Chimeric Fox,13,0.08875739644970414,2,16,11,3,12,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,50
Chimeric Hare,13,0.04437869822485207,1,17,9,2,11,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,44
Chimeric Rat,10,0.04437869822485207,2,11,9,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38
Chimeric Weasel,13,0.04437869822485207,3,16,8,2,12,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,44
Chitine,14,0.7988165680473372,10,14,12,10,10,7,0,2,0,0,0,0,0.5,0,0,0,0,0,1,0,63
Choker,16,0.5769230769230769,16,14,13,4,12,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,66
Choldrith,15,2.9289940828402363,12,16,12,11,14,10,0,3,0,0,0,0,3,0,0,0,1,0,0,0,75
Chuul,16,4.127218934911243,19,10,16,5,11,5,0,1,0,0,1,1,4,0,0,1,0,0,0,0,66
Chuul Spore Servant,16,4.127218934911243,19,10,16,2,6,1,0,0,0,0,1,5,4,0,0,1,0,0,0,0,54
Chwinga,15,0.22189349112426035,1,20,10,14,16,16,0,3,0,0,0,0,0,0,0,0,0,0,0,1,77
Chwinga,15,0.22189349112426035,1,20,10,14,16,16,0,3,0,0,0,0,0,0,0,0,0,0,0,1,77
Chwinga,15,0.22189349112426035,1,20,10,14,16,16,0,3,0,0,0,0,0,0,0,0,0,0,0,1,77
Chwinga Astronaut,15,0.3106508875739645,1,20,10,14,16,16,0,3,0,0,0,0,0,0,0,0,0,0,0,1,77
Clawfoot,13,0.8431952662721893,12,16,14,4,12,10,0,2,0,0,0,0,1,0,0,0,1,0,0,0,68
Clay Gladiator,17,4.970414201183432,18,15,16,10,12,15,3,2,0,0,1,3,5,0,0,0,1,0,0,0,86
Clay Golem,14,5.902366863905325,20,9,18,3,8,1,0,0,0,0,5,6,9,0,0,1,0,0,0,0,59
Cloaker,14,3.4615384615384612,17,15,12,13,12,14,0,1,0,0,0,0,8,0,0,1,0,0,0,0,83
Clockwork Behir,17,7.455621301775148,23,16,18,7,14,12,0,2,0,0,2,6,11,0,1,0,0,0,0,0,90
Clockwork Bronze Scout,13,1.5976331360946745,10,16,11,3,14,1,0,2,0,0,1,6,1,0,0,0,1,0,0,0,55
Clockwork Defender,17,1.863905325443787,16,15,18,3,14,1,0,2,0,0,1,6,1,0,0,0,1,0,0,0,67
Clockwork Dragon,16,0.9763313609467456,14,10,12,10,11,13,0,2,0,0,2,8,1,0,0,0,1,0,0,0,70
Clockwork Iron Cobra,13,4.038461538461538,12,16,14,3,10,1,0,1,0,0,1,6,4,0,0,0,1,0,0,0,56
Clockwork Mule,10,0.4881656804733728,14,10,13,2,10,5,0,0,0,0,2,6,0.125,0,0,0,1,0,0,0,54
Clockwork Oaken Bolter,16,5.192307692307692,12,18,15,3,10,1,0,0,0,0,1,6,5,0,0,0,1,0,0,0,59
Clockwork Observer,14,0.3106508875739645,1,16,13,3,15,1,0,1,0,0,1,6,0,0,0,0,0,0,0,1,49
Clockwork Stone Defender,16,4.659763313609467,19,10,17,3,10,1,0,0,0,0,1,6,4,0,0,0,1,0,0,0,60
Cloud Giant,14,8.875739644970414,27,10,22,12,16,16,3,2,0,0,0,0,9,0,1,0,0,0,0,0,103
Cloud Giant Ghost,15,4.615384615384615,27,11,10,12,16,17,2,1,0,1,2,9,9,0,1,0,0,0,0,0,93
Cloud Giant Noble,16,8.875739644970414,27,10,22,12,16,16,3,2,0,0,0,0,9,0,1,0,0,0,0,0,103
Cloud Giant Smiling One,15,11.094674556213016,26,12,22,15,16,17,3,4,0,0,0,0,11,0,1,0,0,0,0,0,108
Cockatrice,11,1.198224852071006,6,12,12,2,13,5,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,50
Cogwork Archivist,17,3.994082840236686,18,10,15,17,11,6,0,5,0,0,1,5,4,0,0,1,0,0,0,0,77
Coldlight Walker,13,3.6390532544378695,15,10,17,8,10,8,2,0,0,0,1,6,5,0,0,0,1,0,0,0,68
Colossus of Akros,21,15.532544378698224,28,10,25,3,11,1,2,2,0,0,5,8,23,1,0,0,0,0,0,0,78
Commoner,10,0.17751479289940827,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60
Conclave Dryad,16,6.346153846153846,12,19,14,19,20,21,3,3,0,0,0,0,9,0,0,0,1,0,0,0,105
Conjurer Wizard,12,2.57396449704142,9,14,11,17,12,11,2,2,0,0,0,0,6,0,0,0,1,0,0,0,74
Conservatory Student,15,0.3994082840236686,11,12,11,12,14,16,0,1,0,0,0,0,0.125,0,0,0,1,0,0,0,76
Constrictor Snake,12,0.5769230769230769,15,14,12,1,10,3,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,55
Construct Spirit,13,1.7751479289940828,18,10,18,14,11,5,0,0,0,1,0,7,0,0,0,0,1,0,0,0,76
Constructed Commoner,15,0.2662721893491124,10,10,15,10,10,10,0,0,0,0,1,2,0,0,0,0,1,0,0,0,65
Copper Dragon Wyrmling,16,0.9763313609467456,15,12,13,14,11,13,4,2,0,0,1,0,1,0,0,0,1,0,0,0,78
Copper Greatwyrm,22,25.07396449704142,30,16,29,21,22,30,5,3,0,0,1,3,28,1,0,0,0,0,0,0,148
Core Spawn Crawler,12,0.9319526627218935,7,14,10,9,12,6,0,1,0,0,1,1,1,0,0,0,0,0,1,0,58
Core Spawn Emissary,15,4.526627218934911,17,15,18,8,13,8,3,1,0,0,1,1,6,0,0,0,1,0,0,0,79
Core Spawn Seer,17,6.789940828402367,14,12,18,22,19,16,4,1,0,0,1,2,13,0,0,0,1,0,0,0,101
Core Spawn Worm,18,12.381656804733726,26,5,20,6,8,4,2,1,1,0,2,2,15,1,0,0,0,0,0,0,69
Corpse Flower,12,5.636094674556213,14,14,16,7,15,3,0,0,0,0,0,3,8,0,0,1,0,0,0,0,69
Corrupted Avatar of Lurue,14,3.994082840236686,18,14,15,11,17,16,3,0,0,0,1,3,8,0,0,1,0,0,0,0,91
Corrupted Giant Shark,13,5.59171597633136,23,11,21,1,10,5,0,1,0,0,0,0,9,0,1,0,0,0,0,0,71
Cosmic Horror,15,12.426035502958579,27,10,25,24,15,24,3,0,0,0,2,3,18,1,0,0,0,0,0,0,125
Cosmotronic Blastseeker,15,1.6420118343195265,14,15,16,18,9,12,2,3,0,0,0,0,4,0,0,0,1,0,0,0,84
Couatl,19,4.304733727810651,16,20,17,18,20,18,3,0,0,1,3,0,4,0,0,0,1,0,0,0,109
Counterflux Blastseeker,13,1.7307692307692306,13,16,15,18,11,14,2,2,0,0,0,0,2,0,0,0,1,0,0,0,87
Cow,10,0.665680473372781,18,10,14,2,10,4,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,58
Crab,11,0.08875739644970414,2,11,10,1,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34
Crag Cat,13,1.5088757396449703,16,17,16,4,14,8,0,2,0,0,0,0,1,0,0,1,0,0,0,0,75
Cranium Rat,12,0.08875739644970414,2,14,10,4,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49
Crawling Claw,12,0.08875739644970414,13,14,11,5,10,4,0,0,0,0,1,3,0,0,0,0,0,0,0,1,57
Crocodile,12,0.8431952662721893,15,10,13,2,10,5,0,1,0,0,0,0,0.5,0,0,1,0,0,0,0,55
Crow,12,0.04437869822485207,2,14,8,2,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,44
Crushing Wave Priest,13,2.3076923076923075,15,11,14,10,11,16,0,3,0,0,0,0,2,0,0,0,1,0,0,0,77
Crushing Wave Reaver,14,0.9763313609467456,15,14,13,10,11,8,0,2,0,0,0,0,0.5,0,0,0,1,0,0,0,71
Crystal Battleaxe,17,0.7544378698224852,12,15,11,1,5,1,1,0,0,0,2,7,0.25,0,0,0,0,0,1,0,45
Crystal Dragon Wyrmling,14,1.4201183431952662,14,12,14,14,13,15,4,3,0,2,0,0,2,0,0,0,1,0,0,0,82
Crystal Golem,17,7.899408284023668,22,9,20,3,11,1,0,0,0,0,4,6,10,0,0,1,0,0,0,0,66
Crystal Greatwyrm,21,22.5,28,14,29,30,24,25,4,3,0,0,1,4,26,1,0,0,0,0,0,0,150
Cult Fanatic,13,1.4644970414201182,11,14,12,10,13,14,0,3,0,0,0,0,2,0,0,0,1,0,0,0,74
Cultist,12,0.3994082840236686,11,12,10,10,11,10,0,2,0,0,0,0,0.125,0,0,0,1,0,0,0,64
Cyclops,14,6.124260355029586,22,11,20,8,6,10,0,0,0,0,0,0,6,0,1,0,0,0,0,0,77
Daemogoth,16,6.967455621301775,19,15,19,21,14,18,3,4,0,0,1,1,10,0,1,0,0,0,0,0,106
Daemogoth Titan,17,9.00887573964497,26,10,26,24,18,20,3,4,0,0,1,2,16,1,0,0,0,0,0,0,124
Damaged Flesh Golem,9,0.22189349112426035,19,9,18,6,10,5,0,0,0,0,4,6,1,0,0,0,1,0,0,0,67
Dancing Flame,15,2.9289940828402363,8,17,13,15,12,20,0,5,0,6,0,0,4,0,0,0,1,0,0,0,85
Dancing Item,16,0.4437869822485207,18,14,16,4,10,6,0,0,0,0,2,4,0,0,0,1,0,0,0,0,68
Dao,18,8.298816568047338,23,12,24,12,13,14,3,0,0,0,0,1,11,0,0,1,0,0,0,0,98
Dark Tide Knight,13,2.57396449704142,17,16,14,10,11,11,0,2,0,0,0,0,3,0,0,0,1,0,0,0,79
Darkling,14,0.5769230769230769,9,16,12,10,12,10,0,4,0,0,0,0,0.5,0,0,0,0,0,1,0,69
Darkling Elder,15,1.198224852071006,13,17,12,10,14,13,0,4,0,0,0,0,2,0,0,0,1,0,0,0,79
Darkmantle,11,0.9763313609467456,16,12,13,2,10,5,0,1,0,0,0,0,0.5,0,0,0,0,0,1,0,58
Deadstone Cleft Stone Giant,17,5.59171597633136,23,15,20,10,12,9,3,2,0,0,0,0,7,0,1,0,0,0,0,0,89
Death Dog,12,1.7307692307692306,15,14,14,3,13,6,0,2,0,0,0,0,1,0,0,0,1,0,0,0,65
Death Embrace,13,6.523668639053254,23,15,19,6,9,4,2,0,0,0,0,4,11,0,1,0,0,0,0,0,76
Death Kiss,15,6.301775147928994,18,14,18,10,12,10,2,1,0,0,1,1,10,0,0,1,0,0,0,0,82
Death Knight,20,7.988165680473372,20,11,20,12,16,18,3,0,0,0,2,3,17,0,0,0,1,0,0,0,97
Death Slaad,18,7.544378698224851,20,15,19,15,10,16,0,2,0,5,0,0,10,0,0,0,1,0,0,0,95
Death Tyrant,19,8.298816568047338,10,14,14,19,15,19,5,1,0,0,1,6,14,0,0,1,0,0,0,0,91
Death's Head,16,0.7544378698224852,8,13,12,5,14,3,0,0,0,1,0,0,0.5,0,0,0,0,0,0,1,55
Death's Head of Bhaal,15,3.3727810650887573,20,20,20,14,13,16,0,4,0,0,0,0,5,0,0,0,1,0,0,0,103
Deathlock,12,1.5976331360946745,11,15,10,14,12,16,2,2,0,3,1,2,4,0,0,0,1,0,0,0,78
Deathlock Mastermind,13,4.881656804733727,11,16,12,15,12,17,2,3,0,3,1,2,8,0,0,0,1,0,0,0,83
Deathlock Wight,12,1.6420118343195265,11,14,16,12,14,16,1,2,0,3,1,2,3,0,0,0,1,0,0,0,83
Deathpact Angel,18,7.766272189349112,16,18,14,19,20,23,3,4,0,4,0,3,14,0,0,0,1,0,0,0,110
Deep Crow,17,5.902366863905325,20,16,18,8,15,14,2,2,0,0,0,0,9,0,0,1,0,0,0,0,91
Deep Dragon Wyrmling,15,1.198224852071006,14,11,12,11,12,13,4,3,0,2,0,3,1,0,0,0,1,0,0,0,73
Deep Gnome (Svirfneblin),15,0.7100591715976331,15,14,14,12,10,9,0,3,0,0,0,0,0.5,0,0,0,0,0,1,0,74
Deep Rothé,10,0.5769230769230769,18,10,14,2,10,4,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,58
Deep Scion,11,2.9733727810650885,18,13,16,10,12,14,2,4,0,0,0,0,3,0,0,0,1,0,0,0,83
Deer,13,0.17751479289940827,11,16,11,2,14,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59
Deinonychus,13,1.1538461538461537,15,15,14,4,12,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,66
Demilich,20,3.5502958579881656,1,20,10,20,17,20,4,0,0,3,5,9,18,0,0,0,0,0,0,1,88
Demogorgon,15,2.662721893491124,16,12,16,3,12,5,0,2,0,0,0,0,4,0,0,0,1,0,0,0,64
Demogorgon,22,20.59171597633136,29,14,26,20,17,25,4,2,0,3,3,4,26,0,1,0,0,0,0,0,131
Demos Magen,16,2.2633136094674553,14,14,18,10,10,7,0,0,0,0,1,5,2,0,0,0,1,0,0,0,73
Derro,13,0.5769230769230769,10,14,12,11,5,9,0,1,0,0,0,0,0.25,0,0,0,0,0,1,0,61
Derro Savant,13,1.5976331360946745,9,14,12,11,5,14,0,1,0,0,0,0,3,0,0,0,0,0,1,0,65
Detached Shadow,12,0.7100591715976331,6,14,13,6,10,8,0,1,1,7,2,8,0.5,0,0,0,1,0,0,0,57
Deva,17,6.035502958579881,18,18,18,17,20,20,2,2,0,3,0,3,10,0,0,0,1,0,0,0,111
Devkarin Lich,14,4.304733727810651,11,16,14,19,16,15,3,3,0,3,1,5,14,0,0,0,1,0,0,0,91
Devourer,16,8.38757396449704,20,12,20,13,10,16,0,0,0,3,1,1,13,0,0,1,0,0,0,0,91
Dhergoloth,15,5.281065088757396,17,10,19,7,10,9,1,0,0,5,2,1,7,0,0,0,1,0,0,0,72
Diatryma,11,0.8431952662721893,14,12,12,2,10,5,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,55
Dimetrodon,12,0.8431952662721893,14,10,15,2,10,5,0,1,0,0,0,0,0.25,0,0,0,1,0,0,0,56
Dining Table Mimic,12,3.328402366863905,17,12,15,5,13,8,0,1,0,0,1,1,3,0,0,1,0,0,0,0,70
Dinosaur Skeleton,13,2.2633136094674553,19,13,17,2,12,5,0,1,1,0,1,2,2,0,0,1,0,0,0,0,68
Dire Troll,15,7.633136094674556,22,15,21,9,11,5,2,1,0,3,0,2,13,0,1,0,0,0,0,0,83
Dire Wolf,14,1.6420118343195265,17,15,15,3,12,7,0,2,0,0,0,0,1,0,0,1,0,0,0,0,69
Disciple,11,0.3994082840236686,12,9,10,11,13,9,1,2,0,0,0,0,0,0,0,0,1,0,0,0,64
Displacer Beast,13,3.7721893491124256,18,15,16,6,12,8,0,0,0,0,0,0,3,0,0,1,0,0,0,0,75
Displacer Beast Kitten,12,0.3994082840236686,12,13,12,4,10,6,0,0,0,0,0,0,0.125,0,0,0,0,0,1,0,57
Distended Corpse,10,0.17751479289940827,10,10,10,10,10,10,0,0,0,0,0,2,0,0,0,0,1,0,0,0,60
Diva,13,0.7100591715976331,11,14,12,11,13,11,0,4,0,0,0,0,0.5,0,0,0,1,0,0,0,72
Diviner Wizard,12,3.994082840236686,9,14,11,18,12,11,2,2,0,0,0,0,8,0,0,0,1,0,0,0,75
